City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Victoria,HK,2020-07-07 01:10:07,22.29,114.16,88.0,66,98,8.01
97,Smithers,CA,2020-07-07 01:14:13,54.78,-127.17,64.4,59,75,9.17
98,Provideniya,RU,2020-07-07 01:13:32,64.38,-173.3,44.6,87,90,8.95
99,Riohacha,CO,2020-07-07 01:14:13,11.54,-72.91,83.25,68,11,15.14
100,Butaritari,KI,2020-07-07 01:13:10,3.07,172.79,83.82,75,18,13.87
101,Umba,RU,2020-07-07 01:14:14,66.69,34.34,51.3,89,0,13.89
102,Tenno,JP,2020-07-07 01:14:14,39.9,139.97,75.2,88,75,3.36
103,Marrakesh,MA,2020-07-07 01:14:14,31.63,-8.01,91.4,21,40,3.36
104,Yafran,LY,2020-07-07 01:14:14,32.06,12.53,64.58,54,0,4.25
105,Qaanaaq,GL,2020-07-07 01:12:38,77.48,-69.36,46.11,56,0,1.5
106,Taoudenni,ML,2020-07-07 01:14:14,22.68,-3.98,99.72,8,0,10.0
107,Airai,TL,2020-07-07 01:13:31,-8.93,125.41,64.78,92,68,4.54
108,Ambanja,MG,2020-07-07 01:14:15,-13.68,48.45,73.8,70,92,1.12
109,Jamestown,US,2020-07-07 01:12:16,42.1,-79.24,80.6,54,20,2.91
110,Jos,NG,2020-07-07 01:14:15,9.92,8.9,65.37,93,95,3.24
111,Sao Joao Da Barra,BR,2020-07-07 01:14:15,-21.64,-41.05,71.15,87,0,7.34
112,Phalaborwa,ZA,2020-07-07 01:14:15,-23.94,31.14,57.2,50,0,3.36
113,Tuktoyaktuk,CA,2020-07-07 01:14:15,69.45,-133.04,42.8,93,90,9.17
114,Berdigestyakh,RU,2020-07-07 01:14:15,62.1,126.7,66.51,37,97,4.47
115,Burgeo,CA,2020-07-07 01:14:16,47.62,-57.62,56.44,78,79,4.09
116,Sergeyevka,KZ,2020-07-07 01:14:16,53.88,67.42,63.68,87,0,3.87
117,Indramayu,ID,2020-07-07 01:14:16,-6.33,108.32,79.38,76,90,6.78
118,Pevek,RU,2020-07-07 01:14:16,69.7,170.31,46.71,69,77,1.5
119,Hokitika,NZ,2020-07-07 01:14:16,-42.72,170.97,48.67,88,100,6.93
120,Mont-De-Marsan,FR,2020-07-07 01:14:16,44.0,-0.67,55.99,87,95,4.7
121,Guerrero Negro,MX,2020-07-07 01:13:35,27.98,-114.06,75.99,56,0,18.54
122,Lucapa,AO,2020-07-07 01:14:17,-8.42,20.74,58.73,35,36,4.27
123,Winchester,GB,2020-07-07 01:10:20,51.07,-1.32,54.0,87,0,5.82
124,Kiruna,SE,2020-07-07 01:14:17,67.86,20.23,41.0,80,22,7.38
125,Kabalo,CD,2020-07-07 01:14:17,-6.05,26.92,64.94,48,0,3.06
126,Saint Pete Beach,US,2020-07-07 01:09:23,27.73,-82.74,84.99,74,1,3.36
127,Narsaq,GL,2020-07-07 01:14:18,60.92,-46.05,46.4,70,93,6.93
128,Fortuna,US,2020-07-07 01:14:18,40.6,-124.16,62.01,67,90,18.34
129,Klyuchi,RU,2020-07-07 01:14:18,52.27,79.17,65.77,74,83,5.53
130,Half Moon Bay,US,2020-07-07 01:14:18,37.46,-122.43,68.0,72,1,17.22
131,Atuona,PF,2020-07-07 01:13:36,-9.8,-139.03,79.93,72,6,12.1
132,Sitka,US,2020-07-07 01:12:03,57.05,-135.33,57.2,76,75,9.17
133,Constitucion,CL,2020-07-07 01:14:18,-35.33,-72.42,49.87,72,100,3.33
134,Galdar,ES,2020-07-07 01:14:19,28.15,-15.65,73.4,83,27,23.04
135,Kidal,ML,2020-07-07 01:14:19,18.44,1.41,87.87,12,1,8.23
