City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
192,Hurghada,EG,27.26,33.81,87.8,15,0,6.93,clear sky,0.0,0
193,Mitsamiouli,KM,-11.38,43.28,78.8,78,100,9.08,light rain,0.0,0
194,Canutama,BR,-6.53,-64.38,77.04,75,75,2.26,broken clouds,0.0,0
195,Porto Nacional,BR,-10.71,-48.42,71.6,73,26,5.82,scattered clouds,0.0,0
196,Lompoc,US,34.64,-120.46,62.6,67,0,17.22,clear sky,0.0,0
197,Sakakah,SA,29.97,40.21,82.4,28,0,13.87,clear sky,0.0,0
198,Oistins,BB,13.07,-59.53,80.6,83,40,6.93,scattered clouds,0.0,0
199,Georgetown,MY,5.41,100.34,84.2,83,20,4.7,few clouds,0.0,0
200,Madang,PG,-5.22,145.8,84.2,66,93,5.37,light rain,0.0,0
201,Riyadh,SA,24.69,46.72,86.0,20,0,8.05,clear sky,0.0,0
202,Gamba,GA,-2.65,10.0,70.0,94,39,2.89,scattered clouds,0.0,0
203,Lagoa,PT,39.05,-27.98,68.43,90,0,4.52,clear sky,0.0,0
204,Touros,BR,-5.2,-35.46,71.6,94,0,4.7,clear sky,0.0,0
205,Antalaha,MG,-14.9,50.28,71.78,90,96,8.46,light rain,0.0,0
206,Gewane,ET,10.17,40.65,80.74,51,57,14.34,broken clouds,0.0,0
207,Puerto Escondido,MX,15.85,-97.07,81.39,75,100,1.86,overcast clouds,0.0,0
208,Nam Phong,TH,16.7,102.86,84.2,74,40,5.82,scattered clouds,0.0,0
209,Dikson,RU,73.51,80.55,48.02,68,0,10.78,clear sky,0.0,0
210,La Cruz,MX,23.92,-106.9,84.99,77,96,5.01,overcast clouds,0.0,0
211,Buala,SB,-8.14,159.59,85.69,68,91,7.4,light rain,0.0,0
212,Falkenberg,SE,56.91,12.49,53.6,71,17,19.46,light rain,0.0,0
213,Ahipara,NZ,-35.17,173.17,52.34,71,70,23.17,light rain,0.0,0
214,Klaksvik,FO,62.23,-6.59,48.2,87,2,9.17,clear sky,0.0,0
215,Puerto Ayora,EC,-0.74,-90.35,69.01,94,86,3.0,overcast clouds,0.0,0
216,Esil,KZ,51.96,66.4,69.35,68,0,6.78,clear sky,0.0,0
217,Salihorsk,BY,52.79,27.54,48.79,95,90,8.95,overcast clouds,0.0,0
218,Newport,GB,51.59,-3.0,61.0,97,100,1.01,light rain,0.0,0
219,Abu Dhabi,AE,24.47,54.37,89.01,79,0,5.82,clear sky,0.0,0
220,Raudeberg,NO,61.99,5.14,48.0,91,100,5.91,light rain,0.0,0
221,Witu,KE,-2.39,40.44,76.01,83,88,11.74,overcast clouds,0.0,0
222,Muyezerskiy,RU,63.93,31.65,52.83,84,100,6.69,overcast clouds,0.0,0
223,Chokurdakh,RU,70.63,147.92,45.54,80,100,9.37,overcast clouds,0.0,0
224,Menongue,AO,-14.66,17.69,42.08,59,0,3.69,clear sky,0.0,0
225,Asau,RO,46.43,26.4,52.0,82,45,3.38,scattered clouds,0.0,0
226,Mayo,US,38.89,-76.51,82.4,74,1,10.29,clear sky,0.0,0
227,Thunder Bay,CA,48.4,-89.32,80.6,42,20,4.7,few clouds,0.0,0
228,Mercedes,AR,-34.65,-59.43,42.01,88,100,1.99,overcast clouds,0.0,0
229,Urucui,BR,-7.23,-44.56,74.12,40,0,4.56,clear sky,0.0,0
230,Port Macquarie,AU,-31.43,152.92,62.01,80,75,1.01,light rain,0.0,0
231,Falam,MM,22.92,93.68,66.67,100,100,0.58,light rain,0.0,0
232,Santa Engracia,ES,41.94,-1.32,68.0,72,0,3.36,clear sky,0.0,0
233,Usinsk,RU,65.99,57.53,67.03,62,56,7.07,broken clouds,0.0,0
234,Nyurba,RU,63.28,118.33,69.78,46,0,7.38,clear sky,0.0,0
235,Port Augusta,AU,-32.5,137.77,57.2,50,0,9.17,clear sky,0.0,0
236,Iqaluit,CA,63.75,-68.51,46.4,87,75,2.24,broken clouds,0.0,0
237,Maragogi,BR,-9.01,-35.22,73.98,87,50,3.56,light rain,0.0,0
238,Vila Velha,BR,-20.33,-40.29,72.0,88,0,8.05,clear sky,0.0,0
239,Luderitz,NA,-26.65,15.16,73.4,31,0,20.8,clear sky,0.0,0
240,Okato,NZ,-39.2,173.88,48.0,72,100,8.01,heavy intensity rain,0.3,0
241,Boralday,KZ,43.36,76.86,75.34,33,0,3.44,clear sky,0.0,0
242,Cherskiy,RU,68.75,161.3,67.41,40,3,6.44,clear sky,0.0,0
243,Isangel,VU,-19.55,169.27,77.0,69,40,14.99,scattered clouds,0.0,0
244,Karratha,AU,-20.74,116.85,76.48,19,3,14.79,clear sky,0.0,0
245,Saint-Philippe,RE,-21.36,55.77,69.8,100,75,18.34,mist,0.0,0
246,Cochrane,CA,51.18,-114.47,57.99,76,75,18.34,broken clouds,0.0,0
247,Vardo,NO,70.37,31.11,48.58,85,23,16.84,few clouds,0.0,0
248,Skjervoy,NO,70.03,20.97,49.03,73,97,7.36,overcast clouds,0.0,0
249,Severo-Kurilsk,RU,50.68,156.12,53.92,84,92,15.03,overcast clouds,0.0,0
250,Lat Yao,TH,15.75,99.79,84.7,73,44,11.16,scattered clouds,0.0,0
251,Pangoa,PE,-12.12,-73.0,67.57,95,19,1.86,light rain,0.0,0
252,Azul,AR,-36.78,-59.86,41.0,78,100,3.0,overcast clouds,0.0,0
253,Qaanaaq,GL,77.48,-69.36,46.44,56,0,0.69,clear sky,0.0,0
254,Mehamn,NO,71.04,27.85,48.02,78,90,3.06,overcast clouds,0.0,0
255,Kommunisticheskiy,RU,61.68,64.48,76.78,58,2,6.11,clear sky,0.0,0
256,Ust-Tsilma,RU,65.44,52.15,63.32,78,46,3.78,light rain,0.0,0
257,Juneau,US,58.3,-134.42,60.8,67,90,5.82,overcast clouds,0.0,0
258,Aguimes,ES,27.91,-15.45,75.99,78,20,14.99,few clouds,0.0,0
259,Namatanai,PG,-3.67,152.43,84.11,74,14,8.14,light rain,0.0,0
260,Tamiahua,MX,21.27,-97.45,81.19,88,95,9.46,overcast clouds,0.0,0
261,Oktyabrskoye,RU,43.06,44.74,66.0,77,22,2.24,few clouds,0.0,0
262,Mao,ES,39.89,4.27,68.0,82,0,4.7,clear sky,0.0,0
263,Rocha,UY,-34.48,-54.33,46.06,75,100,5.17,overcast clouds,0.0,0
264,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.04,96,63,2.04,broken clouds,0.0,0
265,Bathsheba,BB,13.22,-59.52,80.6,83,40,6.93,scattered clouds,0.0,0
266,Ambulu,ID,-8.35,113.61,80.44,72,7,0.74,clear sky,0.0,0
267,Goderich,CA,43.75,-81.72,81.0,66,100,8.01,overcast clouds,0.0,0
268,Kokopo,PG,-4.35,152.26,85.53,67,46,8.57,scattered clouds,0.0,0
269,Kysyl-Syr,RU,63.9,122.76,72.0,39,1,4.09,clear sky,0.0,0
270,Cabatuan,PH,10.88,122.49,86.68,69,98,8.39,overcast clouds,0.0,0
271,Barabinsk,RU,55.36,78.36,65.79,84,40,4.72,scattered clouds,0.0,0
272,Broome,US,42.25,-75.83,73.0,78,1,6.93,clear sky,0.0,0
273,Coquimbo,CL,-29.95,-71.34,51.8,76,72,3.36,broken clouds,0.0,0
274,Susanville,US,40.42,-120.65,81.0,18,1,10.29,clear sky,0.0,0
275,Stornoway,GB,58.21,-6.39,41.0,93,0,1.12,clear sky,0.0,0
276,Harper,LR,4.38,-7.72,75.45,88,100,10.33,overcast clouds,0.0,0
277,Gostilitsy,RU,59.75,29.62,57.0,87,100,4.47,overcast clouds,0.0,0
278,Lubango,AO,-14.92,13.49,50.05,43,0,3.18,clear sky,0.0,0
279,Novyy Urengoy,RU,66.08,76.63,65.17,59,100,15.37,overcast clouds,0.0,0
280,Smithers,CA,54.78,-127.17,64.4,59,75,6.93,broken clouds,0.0,0
281,Laguna,US,38.42,-121.42,91.4,22,1,8.05,clear sky,0.0,0
282,Guerrero Negro,MX,27.98,-114.06,72.14,68,84,17.47,broken clouds,0.0,0
283,Koungheul,SN,13.98,-14.8,83.35,70,98,15.26,overcast clouds,0.0,0
284,Kahului,US,20.89,-156.47,84.99,70,5,15.99,clear sky,0.0,0
285,Necochea,AR,-38.55,-58.74,37.99,91,100,7.0,overcast clouds,0.0,0
286,Kasulu,TZ,-4.58,30.1,62.6,93,5,1.81,clear sky,0.0,0
287,Prince Rupert,CA,54.32,-130.32,59.0,72,90,3.36,overcast clouds,0.0,0
288,Srednekolymsk,RU,67.45,153.68,56.46,75,98,3.47,overcast clouds,0.0,0
289,Dunedin,NZ,-45.87,170.5,39.99,83,100,13.0,light rain,0.0,0
290,Beringovskiy,RU,63.05,179.32,51.46,77,98,8.52,overcast clouds,0.0,0
291,Meulaboh,ID,4.14,96.13,78.6,83,100,4.07,light rain,0.0,0
292,Matamoros,MX,25.53,-103.25,95.0,23,40,12.5,scattered clouds,0.0,0
293,Comodoro Rivadavia,AR,-45.87,-67.5,42.8,75,97,5.82,light rain,0.0,0
294,Puqi,CN,29.72,113.88,77.09,94,100,5.41,light rain,0.0,0
295,Barddhaman,IN,23.25,87.85,87.76,69,100,5.57,light rain,0.0,0
296,Nome,US,64.5,-165.41,48.2,93,90,8.05,light rain,0.0,0
